Country,Year,Centrality
USA,2000,0.07408484853396201
USA,2005,0.07398417035713661
USA,2010,0.07333923153396399
USA,2015,0.07376985604037938
USA,2020,0.07083477911629867
GBR,2000,0.03972241782379742
GBR,2005,0.039792297698756314
GBR,2010,0.03943175783508249
GBR,2015,0.039004393584820544
GBR,2020,0.03936577110453706
DEU,2000,0.031146547714435327
DEU,2005,0.030275755007790076
DEU,2010,0.029546641919875088
DEU,2015,0.030268562275657777
DEU,2020,0.03156225267808475
AUS,2000,0.024954752324412993
AUS,2005,0.025979634284901243
AUS,2010,0.0265519593271685
AUS,2015,0.02724053975427615
AUS,2020,0.02801894552477455
FRA,2000,0.029104823533680668
FRA,2005,0.029443735719665843
FRA,2010,0.028597941368105523
FRA,2015,0.028276241065715326
FRA,2020,0.027962141769853604
ESP,2000,0.02179932638757039
ESP,2005,0.02507179208530536
ESP,2010,0.02585897025896589
ESP,2015,0.02496499974369817
ESP,2020,0.02511742320903267
CAN,2000,0.028410738107585227
CAN,2005,0.027862616033316776
CAN,2010,0.027777368682891584
CAN,2015,0.027756191981405606
CAN,2020,0.024804350045340772
ITA,2000,0.023831439780603998
ITA,2005,0.023804708898275875
ITA,2010,0.0232393361298069
ITA,2015,0.022996563678821146
ITA,2020,0.02296869643776046
CHN,2000,0.018185410457479068
CHN,2005,0.01868530881692956
CHN,2010,0.019191409823154988
CHN,2015,0.01881906325279323
CHN,2020,0.018322810320941085
MEX,2000,0.01530045768810769
MEX,2005,0.0170653107963785
MEX,2010,0.018475982594360278
MEX,2015,0.018390955106074105
MEX,2020,0.017618702151714488
