year,origin,destination,diplomatic_relation,aviation_routes,migrant_stock
2000,ARE,BRN,,1,
2000,ARE,CAN,6,3,5366
2000,ARE,CHE,,7,
2000,ARE,CHN,6,16,
2000,ARE,CYP,,3,69
2000,ARE,CZE,,2,
2000,ARE,DEU,6,23,
2000,ARE,DJI,,1,
2000,ARE,DNK,,2,194
2000,ARE,DZA,6,2,
2000,ARE,EGY,6,11,671
2000,ARE,ESP,6,2,
2000,ARE,ETH,,3,
2000,ARE,FIN,,,30
2000,ARE,FRA,6,7,
2000,ARE,GBR,6,22,
2000,ARE,GEO,,1,
2000,ARE,GHA,,1,
2000,ARE,GRC,,3,77
2000,ARE,HKG,,4,
2000,ARE,HUN,,1,123
2000,ARE,IDN,4,5,
2000,ARE,IND,6,88,13769
2000,ARE,IRL,,4,
2000,ARE,IRN,6,24,
2000,ARE,IRQ,6,15,248
2000,ARE,ISL,,,1
2000,ARE,ITA,6,8,109
2000,ARE,JOR,6,9,
2000,ARE,JPN,6,8,
2000,ARE,KAZ,,7,616
2000,ARE,KEN,,9,
2000,ARE,KGZ,,1,
2000,ARE,KOR,6,5,
2000,ARE,KWT,6,12,9112
2000,ARE,LBN,6,6,
2000,ARE,LBY,,1,2044
2000,ARE,LKA,,12,413
2000,ARE,LTU,,,14
2000,ARE,LVA,,,2
2000,ARE,MAR,6,4,
2000,ARE,MDA,,1,
2000,ARE,MDV,,4,
2000,ARE,MKD,,1,
2000,ARE,MLT,,1,9
2000,ARE,MRT,,,68
2000,ARE,MUS,,2,
2000,ARE,MYS,,8,
2000,ARE,NGA,,2,
2000,ARE,NLD,,10,
2000,ARE,NOR,,,82
2000,ARE,NPL,,4,
2000,ARE,NZL,,,411
2000,ARE,OMN,6,21,
2000,ARE,PAK,6,51,
2000,ARE,PHL,6,7,
2000,ARE,POL,,2,
2000,ARE,PRT,,2,
2000,ARE,PSE,,,10145
2000,ARE,QAT,6,10,46625
2000,ARE,ROU,,3,
2000,ARE,RUS,6,39,
2000,ARE,RWA,,1,
2000,ARE,SAU,6,47,
2000,ARE,SDN,6,,
2000,ARE,SEN,,1,
2000,ARE,SGP,,11,
2000,ARE,SOM,,5,
2000,ARE,SRB,,3,
2000,ARE,SVK,,,43
2000,ARE,SVN,,,2
2000,ARE,SWE,,2,
2000,ARE,SYC,,4,
2000,ARE,SYR,6,,
2000,ARE,THA,,9,
2000,ARE,TJK,,3,
2000,ARE,TKM,,2,
2000,ARE,TUN,6,2,
2000,ARE,TUR,6,8,146
2000,ARE,TWN,,1,
2000,ARE,TZA,,1,
2000,ARE,UGA,,1,
2000,ARE,UKR,,10,
2000,ARE,USA,4,24,
2000,ARE,UZB,,2,
2000,ARE,VNM,,3,
2000,ARE,YEM,6,11,
2000,ARE,ZAF,6,10,
2000,ARE,ZMB,,1,
2000,ARG,AND,,,151
2000,ARG,ARE,6,,
2000,ARG,AUS,6,,12032
2000,ARG,AUT,6,,
2000,ARG,BEL,6,,1581
2000,ARG,BGR,6,,53
2000,ARG,BHS,,,9
2000,ARG,BLR,,,107
2000,ARG,BOL,6,2,28095
2000,ARG,BRA,6,28,26818
2000,ARG,CAN,6,,11920
2000,ARG,CHE,6,,5865
2000,ARG,CHL,6,9,44702
2000,ARG,CHN,6,,1226
2000,ARG,COL,6,2,2278
2000,ARG,CPV,,,10
2000,ARG,CRI,4,,1120
2000,ARG,CUB,6,1,190
2000,ARG,CUW,,,22
2000,ARG,CYP,,,38
2000,ARG,CZE,6,,
2000,ARG,DEU,6,1,
2000,ARG,DNK,6,,936
2000,ARG,DOM,6,1,3227
2000,ARG,DZA,6,,
2000,ARG,ECU,6,1,2190
2000,ARG,EGY,6,,
2000,ARG,ESP,6,4,95414
2000,ARG,FIN,6,,132
2000,ARG,FLK,,1,
2000,ARG,FRA,6,2,
2000,ARG,GAB,6,,
2000,ARG,GBR,6,1,
2000,ARG,GEO,,,16
2000,ARG,GRC,6,,626
2000,ARG,GTM,6,,350
2000,ARG,HND,6,,142
2000,ARG,HRV,,,171
2000,ARG,HTI,6,,419
2000,ARG,HUN,6,,223
2000,ARG,IDN,6,,
2000,ARG,IND,6,,
2000,ARG,IRL,6,,
2000,ARG,IRN,4,,
2000,ARG,IRQ,6,,
2000,ARG,ISL,,,13
2000,ARG,ISR,6,,31692
2000,ARG,ITA,4,2,49381
2000,ARG,JAM,6,,
2000,ARG,JPN,6,,3047
2000,ARG,KEN,6,,
2000,ARG,KOR,6,,
2000,ARG,KWT,6,,
2000,ARG,LBN,6,,
2000,ARG,LBY,4,,
2000,ARG,LTU,,,72
2000,ARG,LUX,,,35
2000,ARG,LVA,,,20
2000,ARG,MAR,6,,
2000,ARG,MEX,6,2,6633
2000,ARG,MLT,,,10
2000,ARG,MRT,,,66
2000,ARG,MYS,6,,
2000,ARG,NAM,,,67
2000,ARG,NGA,6,,
2000,ARG,NIC,6,,188
2000,ARG,NLD,6,1,
2000,ARG,NOR,6,,533
2000,ARG,NZL,6,,384
2000,ARG,PAK,6,,
2000,ARG,PAN,6,2,796
2000,ARG,PER,6,4,5113
2000,ARG,PHL,6,,
2000,ARG,POL,6,,156
2000,ARG,PRT,4,,1032
2000,ARG,PRY,6,4,64404
2000,ARG,ROU,6,,
2000,ARG,RUS,6,,
2000,ARG,SAU,6,,
2000,ARG,SEN,6,,
2000,ARG,SGP,6,,
2000,ARG,SLV,6,,166
2000,ARG,SMR,,,81
2000,ARG,SRB,6,,61
2000,ARG,SVK,,,54
2000,ARG,SVN,,,163
2000,ARG,SWE,6,,
2000,ARG,SYR,6,,
2000,ARG,THA,6,,
2000,ARG,TTO,6,,
2000,ARG,TUN,6,,
2000,ARG,TUR,6,,
2000,ARG,UKR,6,,
2000,ARG,URY,6,9,21691
2000,ARG,USA,6,10,135087
2000,ARG,VAT,6,,
2000,ARG,VEN,6,2,8724
2000,ARG,ZAF,6,,
2000,ARG,ZWE,6,,
2000,ARM,ARE,,2,
2000,ARM,ARG,6,,1008
2000,ARM,AUS,,,978
2000,ARM,AUT,4,3,331
2000,ARM,AZE,,,343340
2000,ARM,BEL,6,,211
2000,ARM,BGR,,,1150
2000,ARM,BLR,6,1,5944
2000,ARM,BOL,,,1
2000,ARM,CAN,6,,1722
2000,ARM,CHL,,,42
2000,ARM,CRI,,,5
2000,ARM,CYP,,,534
2000,ARM,CZE,,2,827
2000,ARM,DEU,6,,
2000,ARM,DNK,,,460
2000,ARM,EGY,6,,52
2000,ARM,EST,,,595
2000,ARM,FIN,,,19
2000,ARM,FRA,6,3,6873
2000,ARM,GBR,6,,
2000,ARM,GEO,6,,12268
2000,ARM,GRC,6,1,8899
2000,ARM,HUN,,,144
2000,ARM,IRN,6,1,1287
2000,ARM,ISL,,,2
2000,ARM,ITA,6,1,202
2000,ARM,KAZ,6,1,7523
2000,ARM,KGZ,,,4449
2000,ARM,LBN,6,1,
2000,ARM,LBY,,,188
2000,ARM,LTU,,,681
2000,ARM,LVA,,,1073
2000,ARM,MDA,,,926
2000,ARM,MLT,,,15
2000,ARM,NAM,,,84
2000,ARM,NOR,,,33
2000,ARM,POL,,1,641
2000,ARM,PRT,,,54
2000,ARM,ROU,6,,
2000,ARM,RUS,6,27,478856
2000,ARM,SVK,,,94
2000,ARM,TJK,,,207
2000,ARM,TKM,,,7452
2000,ARM,UKR,6,2,54082
2000,ARM,USA,6,,
2000,ARM,UZB,,,7498
2000,ARM,VAT,6,,
2000,ARM,VEN,,,29
2000,ASM,USA,,1,
2000,ATG,AIA,,1,
2000,ATG,AUS,,,30
2000,ATG,BGR,,,3
2000,ATG,BHS,,,8
2000,ATG,BRB,,2,267
2000,ATG,CAN,6,2,
2000,ATG,CHL,,,22
2000,ATG,CUW,,,56
2000,ATG,DEU,,1,
2000,ATG,DMA,,1,290
2000,ATG,DOM,,3,325
2000,ATG,FRA,6,2,
2000,ATG,GBR,6,3,
2000,ATG,GLP,,2,
2000,ATG,GRC,,,14
2000,ATG,GRD,,,35
2000,ATG,GUY,,,10
2000,ATG,JAM,,1,165
2000,ATG,KNA,,4,319
2000,ATG,LCA,,2,90
2000,ATG,NAM,,,616
2000,ATG,NIC,,,65
2000,ATG,PRI,,1,
2000,ATG,TTO,,2,
2000,ATG,USA,6,7,
2000,ATG,VCT,,,55
2000,AUS,AND,,,41
2000,AUS,ARE,,16,
2000,AUS,ARG,6,,1710
2000,AUS,ATG,,,6
2000,AUS,AUT,6,,
2000,AUS,AZE,,,164
2000,AUS,BEL,6,,
2000,AUS,BGD,6,,
2000,AUS,BGR,,,66
2000,AUS,BHS,,,65
2000,AUS,BLR,,,28
2000,AUS,BOL,,,154
2000,AUS,BRA,6,,441
2000,AUS,BRB,6,,29
2000,AUS,BRN,6,1,482
2000,AUS,BTN,,,17
2000,AUS,BWA,,,114
2000,AUS,CAN,6,1,15831
2000,AUS,CHL,6,2,879
2000,AUS,CHN,6,17,9168
2000,AUS,COL,,,197
2000,AUS,CRI,,,51
2000,AUS,CYP,6,,1355
2000,AUS,DEU,6,,
2000,AUS,DMA,,,5
2000,AUS,DNK,,,1603
2000,AUS,DOM,,,82
2000,AUS,ECU,,,133
2000,AUS,EGY,6,,519
2000,AUS,ESP,6,,
2000,AUS,FIN,,,552
2000,AUS,FJI,6,11,1489
2000,AUS,FRA,6,,
2000,AUS,FSM,6,,
2000,AUS,GBR,6,,104720
2000,AUS,GHA,,,19
2000,AUS,GRC,6,,20267
2000,AUS,GTM,,,44
2000,AUS,GUM,,1,
2000,AUS,HKG,,16,7506
2000,AUS,HRV,,,753
2000,AUS,HUN,6,,642
2000,AUS,IDN,6,26,7625
2000,AUS,IND,6,2,881
2000,AUS,IRL,6,,7675
2000,AUS,IRN,6,,
2000,AUS,IRQ,6,,
2000,AUS,ISL,,,61
2000,AUS,ISR,6,,2616
2000,AUS,ITA,6,,17612
2000,AUS,JOR,6,,
2000,AUS,JPN,6,15,8830
2000,AUS,KAZ,6,,
2000,AUS,KEN,6,,
2000,AUS,KHM,6,,229
2000,AUS,KIR,6,,86
2000,AUS,KOR,6,5,
2000,AUS,LAO,6,,17
2000,AUS,LBN,6,,
2000,AUS,LBY,,,551
2000,AUS,LCA,,,13
2000,AUS,LKA,6,,150
2000,AUS,LTU,,,19
2000,AUS,LUX,,,67
2000,AUS,LVA,,,93
2000,AUS,MDV,,,48
2000,AUS,MEX,6,,285
2000,AUS,MLT,6,,4128
2000,AUS,MMR,6,,
2000,AUS,MNE,,,130
2000,AUS,MNG,,,4
2000,AUS,MUS,6,1,
2000,AUS,MYS,6,14,2432
2000,AUS,NAM,,,705
2000,AUS,NCL,,4,
2000,AUS,NGA,6,,
2000,AUS,NLD,6,,
2000,AUS,NOR,,,977
2000,AUS,NPL,6,,
2000,AUS,NRU,,1,171
2000,AUS,NZL,6,77,55949
2000,AUS,PAK,6,,
2000,AUS,PAN,,,48
2000,AUS,PER,,,619
2000,AUS,PHL,6,4,2234
2000,AUS,PNG,6,9,10675
2000,AUS,POL,6,,549
2000,AUS,PRT,,,1185
2000,AUS,QAT,,2,
2000,AUS,RUS,6,,
2000,AUS,SAU,6,,
2000,AUS,SGP,6,42,7767
2000,AUS,SLB,6,2,340
2000,AUS,SLV,,,21
2000,AUS,SRB,6,,381
2000,AUS,SVK,,,176
2000,AUS,SVN,,,303
2000,AUS,SWE,6,,
2000,AUS,SWZ,,,16
2000,AUS,SYC,,,51
2000,AUS,SYR,6,,
2000,AUS,THA,6,14,
2000,AUS,TLS,,2,482
2000,AUS,TON,6,1,
2000,AUS,TUR,6,,
2000,AUS,TWN,,3,
2000,AUS,UGA,,,137
2000,AUS,USA,6,26,
2000,AUS,VAT,6,,
2000,AUS,VEN,6,,127
2000,AUS,VNM,6,4,
2000,AUS,VUT,6,7,450
2000,AUS,WSM,6,2,422
2000,AUS,ZAF,6,4,
2000,AUS,ZMB,,,83
2000,AUS,ZWE,6,,
2000,AUT,AFG,6,,
2000,AUT,ALB,6,1,
2000,AUT,ARE,,2,
2000,AUT,ARG,6,,2997
2000,AUT,ARM,,3,
2000,AUT,AUS,6,,21615
2000,AUT,AZE,,2,
2000,AUT,BEL,6,2,3146
2000,AUT,BGR,6,3,98
2000,AUT,BHS,,,22
2000,AUT,BIH,6,1,273
2000,AUT,BLR,,2,61
2000,AUT,BOL,,,166
2000,AUT,BRA,6,,3155
2000,AUT,CAN,6,3,22489
2000,AUT,CHE,6,12,55280
2000,AUT,CHL,6,,535
2000,AUT,CHN,6,2,729
2000,AUT,CIV,6,,
2000,AUT,COL,6,,171
2000,AUT,CRI,,,98
2000,AUT,CUB,6,,
2000,AUT,CYP,,3,161
2000,AUT,CZE,6,1,7559
2000,AUT,DEU,6,67,214600
2000,AUT,DNK,6,5,1472
2000,AUT,DOM,,,1179
2000,AUT,DZA,6,1,
2000,AUT,ECU,6,,221
2000,AUT,EGY,6,6,
2000,AUT,ESP,6,40,
2000,AUT,ETH,6,,
2000,AUT,FIN,6,2,262
2000,AUT,FRA,6,13,
2000,AUT,GBR,6,11,
2000,AUT,GEO,,2,26
2000,AUT,GRC,6,36,2232
2000,AUT,GTM,6,,
2000,AUT,HRV,6,6,1461
2000,AUT,HTI,,,152
2000,AUT,HUN,6,1,5523
2000,AUT,IDN,6,,
2000,AUT,IND,6,2,
2000,AUT,IRL,6,1,
2000,AUT,IRN,6,2,
2000,AUT,IRQ,,1,
2000,AUT,ISL,,,72
2000,AUT,ISR,6,3,6265
2000,AUT,ITA,6,28,16837
2000,AUT,JOR,6,3,
2000,AUT,JPN,6,2,
2000,AUT,KAZ,,2,
2000,AUT,KEN,6,,
2000,AUT,KOR,6,,
2000,AUT,KWT,6,,
2000,AUT,LBN,6,,
2000,AUT,LBY,6,,554
2000,AUT,LCA,,,11
2000,AUT,LIE,,,2608
2000,AUT,LTU,,1,41
2000,AUT,LUX,6,2,469
2000,AUT,LVA,6,2,104
2000,AUT,MAR,6,,
2000,AUT,MDA,,1,
2000,AUT,MDV,,,21
2000,AUT,MEX,6,,497
2000,AUT,MKD,,1,
2000,AUT,MLT,,4,55
2000,AUT,MNE,,2,252
2000,AUT,MNG,,,4
2000,AUT,MYS,6,,
2000,AUT,NAM,,,801
2000,AUT,NGA,6,,
2000,AUT,NIC,,,38
2000,AUT,NLD,6,5,
2000,AUT,NOR,6,2,1058
2000,AUT,OMN,6,,
2000,AUT,PAK,6,,
2000,AUT,PAN,,,53
2000,AUT,PER,6,,230
2000,AUT,PHL,6,,
2000,AUT,POL,6,4,4162
2000,AUT,PRT,4,6,388
2000,AUT,QAT,,1,
2000,AUT,ROU,6,8,584
2000,AUT,RUS,6,13,3894
2000,AUT,SAU,6,,
2000,AUT,SEN,6,,
2000,AUT,SLV,,,10
2000,AUT,SRB,4,3,4153
2000,AUT,SVK,6,1,2070
2000,AUT,SVN,6,2,5745
2000,AUT,SWE,6,4,
2000,AUT,SYR,6,,
2000,AUT,THA,6,3,
2000,AUT,TJK,,,69
2000,AUT,TUN,6,1,
2000,AUT,TUR,6,19,14111
2000,AUT,TWN,,1,
2000,AUT,UGA,4,,
2000,AUT,UKR,6,10,
2000,AUT,USA,6,6,
2000,AUT,VAT,6,,
2000,AUT,VEN,6,,802
2000,AUT,ZAF,6,,
2000,AUT,ZWE,6,,
2000,AZE,AFG,,1,
2000,AZE,ARE,,2,
2000,AZE,ARM,,,409268
2000,AZE,AUS,,,188
2000,AZE,AUT,6,2,
2000,AZE,BEL,6,,
2000,AZE,BGR,,,923
2000,AZE,BLR,,1,14000
2000,AZE,BOL,,,2
2000,AZE,CAN,,,919
2000,AZE,CHN,6,2,373
2000,AZE,CRI,,,2
2000,AZE,CYP,,,16
2000,AZE,CZE,,2,132
2000,AZE,DEU,6,3,
2000,AZE,DNK,,,99
2000,AZE,EST,,,1437
2000,AZE,FIN,,,8
2000,AZE,FRA,6,2,
2000,AZE,GBR,6,2,
2000,AZE,GEO,6,2,5780
2000,AZE,GRC,,,387
2000,AZE,HUN,,1,103
2000,AZE,IRN,6,3,3046
2000,AZE,ISL,,,3
2000,AZE,ISR,,1,15199
2000,AZE,ITA,,4,86
2000,AZE,KAZ,,4,16162
2000,AZE,KGZ,,,8631
2000,AZE,LTU,,,1340
2000,AZE,LVA,,2,3109
2000,AZE,MDA,,,1685
2000,AZE,NOR,,,63
2000,AZE,PAK,6,,
2000,AZE,POL,,,233
2000,AZE,PRT,,,10
2000,AZE,QAT,,2,
2000,AZE,RUS,6,21,841759
2000,AZE,SVK,,,23
2000,AZE,TJK,,,180
2000,AZE,TKM,,2,7809
2000,AZE,TUR,6,6,16787
2000,AZE,UKR,6,3,94083
2000,AZE,USA,6,,
2000,AZE,UZB,,1,22744
2000,BDI,AUS,,,27
2000,BDI,BEL,6,,3522
2000,BDI,BGR,,,9
2000,BDI,BOL,,,1
2000,BDI,CAN,6,,1901
2000,BDI,CHL,,,30
2000,BDI,CHN,6,,195
2000,BDI,COD,,,36692
2000,BDI,CYP,,,2
2000,BDI,DEU,6,,
2000,BDI,DNK,,,254
2000,BDI,DOM,,,4
2000,BDI,EGY,6,,68
2000,BDI,ERI,,,1663
2000,BDI,ETH,6,,16
2000,BDI,FIN,,,5
2000,BDI,FRA,6,,
2000,BDI,GAB,,,87
2000,BDI,GRC,,,137
2000,BDI,ITA,,,549
2000,BDI,JPN,6,,
2000,BDI,KEN,6,,198
2000,BDI,LBY,6,,
2000,BDI,LVA,,,1
2000,BDI,MOZ,,,985
2000,BDI,MWI,,,5677
2000,BDI,NAM,,,511
2000,BDI,NOR,,,58
2000,BDI,RWA,4,,56107
2000,BDI,SWE,6,,
2000,BDI,SWZ,,,255
2000,BDI,TZA,6,,628609
2000,BDI,UGA,6,,60828
2000,BDI,USA,6,,
2000,BDI,ZAF,4,,
2000,BDI,ZMB,,,1796
2000,BEL,AGO,6,4,
2000,BEL,AND,,,241
2000,BEL,ARE,6,3,
2000,BEL,ARG,6,,1696
2000,BEL,AUS,6,,5320
2000,BEL,AUT,6,2,
2000,BEL,BDI,6,,475
2000,BEL,BEN,,4,
2000,BEL,BFA,,4,
2000,BEL,BGD,6,,
2000,BEL,BGR,6,4,181
2000,BEL,BHS,,,20
2000,BEL,BLR,,,38
2000,BEL,BLZ,6,,
2000,BEL,BOL,6,,368
2000,BEL,BRA,6,,1398
2000,BEL,CAN,6,7,19959
2000,BEL,CHE,6,6,10804
2000,BEL,CHL,6,,870
2000,BEL,CHN,6,2,1100
2000,BEL,CIV,6,3,
2000,BEL,CMR,6,9,
2000,BEL,COD,6,,
2000,BEL,COL,6,,327
2000,BEL,CPV,,,24
2000,BEL,CRI,6,,223
2000,BEL,CUB,6,,
2000,BEL,CUW,,,93
2000,BEL,CYP,,2,119
2000,BEL,CZE,6,4,744
2000,BEL,DEU,6,15,
2000,BEL,DNK,6,5,1213
2000,BEL,DOM,,,598
2000,BEL,DZA,6,1,
2000,BEL,ECU,6,,317
2000,BEL,EGY,6,2,423
2000,BEL,ESP,6,57,1182
2000,BEL,EST,,2,
2000,BEL,ETH,6,,
2000,BEL,FIN,6,1,173
2000,BEL,FRA,6,37,128613
2000,BEL,GAB,6,,258
2000,BEL,GBR,6,17,
2000,BEL,GEO,,,23
2000,BEL,GIN,,,166
2000,BEL,GRC,6,20,4629
2000,BEL,GTM,6,,
2000,BEL,HND,,,19
2000,BEL,HRV,,5,197
2000,BEL,HUN,6,3,1104
2000,BEL,IDN,6,,
2000,BEL,IND,6,4,
2000,BEL,IRL,6,3,
2000,BEL,IRN,6,,
2000,BEL,IRQ,6,,
2000,BEL,ISL,,1,77
2000,BEL,ISR,6,2,4644
2000,BEL,ITA,6,44,42555
2000,BEL,JOR,6,,
2000,BEL,JPN,6,,513
2000,BEL,KEN,6,,
2000,BEL,KOR,6,,
2000,BEL,KWT,6,,
2000,BEL,LBN,6,1,
2000,BEL,LBY,6,,496
2000,BEL,LCA,,,10
2000,BEL,LIE,,,22
2000,BEL,LTU,,5,26
2000,BEL,LUX,6,,12679
2000,BEL,LVA,,2,28
2000,BEL,MAR,6,22,927
2000,BEL,MEX,6,,736
2000,BEL,MKD,,1,
2000,BEL,MLT,,2,58
2000,BEL,MNE,,2,
2000,BEL,MOZ,6,,
2000,BEL,MRT,,,60
2000,BEL,MUS,,,15
2000,BEL,MYS,6,,
2000,BEL,NAM,,,242
2000,BEL,NER,6,,
2000,BEL,NGA,6,,
2000,BEL,NIC,,,40
2000,BEL,NLD,6,1,45692
2000,BEL,NOR,6,3,886
2000,BEL,NZL,6,,
2000,BEL,PAK,6,,
2000,BEL,PAN,,,22
2000,BEL,PER,6,,618
2000,BEL,PHL,6,,
2000,BEL,POL,6,6,2472
2000,BEL,PRT,6,18,2862
2000,BEL,QAT,,1,
2000,BEL,ROU,6,4,251
2000,BEL,RUS,6,2,
2000,BEL,RWA,6,5,
2000,BEL,SAU,6,,
2000,BEL,SEN,6,5,
2000,BEL,SGP,6,,
2000,BEL,SLE,,3,
2000,BEL,SLV,,,49
2000,BEL,SRB,6,2,122
2000,BEL,SVK,6,1,529
2000,BEL,SVN,,3,317
2000,BEL,SWE,6,7,
2000,BEL,SYC,,,20
2000,BEL,SYR,6,,
2000,BEL,TGO,6,,32
2000,BEL,THA,6,2,
2000,BEL,TUN,6,4,
2000,BEL,TUR,6,8,8627
2000,BEL,TZA,6,,
2000,BEL,UKR,6,2,
2000,BEL,URY,6,,
2000,BEL,USA,6,21,
2000,BEL,VAT,6,,
